g.Farther_vals,g.Closer_vals
-0.191685046,0.275714146
-0.029934742,0.084044448
-0.186746092,0.131846414
-0.073818567,0.03663019
-0.088793648,0.145534134
-0.160440046,0.195669989
-0.309260591,0.158454214
-0.15890017,0.179967148
-0.125356593,0.131045171
-0.054475677,0.096865366
-0.602785941,0.329094427
-0.237665361,0.169982634
-0.122705375,0.074888134
-0.129909041,0.004057814
-0.042270928,0.0010821
-0.2430666,0.089018022
-0.344564877,0.260877405
-0.312200986,0.276972646
-0.17620137,0.072787838
-0.074463029,0.154177639
-0.344409414,0.266133888
-0.190402891,0.145314346
-0.201359211,0.095041639
-0.313559959,0.190888685
-0.353134446,0.339488076
